Stallion,Gait,Country 1 (AUS),Stud,Country 2 (NZ),Stud,Country 3 (USA),Stud,Country 4 (CA),Stud,Country 5 (FRA),Stud,Country 6 (SWE),Stud
Village Jolt,Pacer,Australia,Lochend Stud,,,,,,,,,,
Village Mystic,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,,Stuteri Ab Lex,,,France,Haras de Bouttemont,Sweden,
Vincent,Pacer,Australia,Alabar,New Zealand,Alabar,,,,,,,,
Volstead,Trotter,Australia,Alabar,New Zealand,Alabar,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,,
Walner,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Warrawee Needy,Pacer,Australia,Yirribee Pacing Stud,New Zealand,Yirribee Pacing Stud,,,,,,,,
Well Said,Pacer,,,,,USA,Hanover Shoe Farms,Canada,Winbak Farm of Canada,,,Sweden,Stalleberga Stuteri
Wesley,Pacer,,,New Zealand,Wall Pacing Stables,,,,,,,,
What The Hill,Trotter,Australia,Woodlands Stud,New Zealand,Woodlands Stud,USA,Hanover Shoe Farms,,,,,Sweden,Stalleberga Stuteri
Winners Bet,Trotter,Australia,Yabby Dam Farms,New Zealand,Yabby Dam Farms,USA,Diamond Creek Farm of Pennsylvania,Canada,Winbak Farm of Canada,,,,
Yankee Rockstar,Pacer,Australia,Llowalong Farms,New Zealand,Llowalong Farms,,,,,,,,
Zenith Stride,Trotter,,,New Zealand,Alabar NZ,,,,,,,,
Zeuss Bromac,Pacer,Australia,Yanko Lodge,,,,,,,,,,
Zirconium,Trotter,Australia,Medowie Lodge,,,,,,,,,,
